DATE,RATE
2003-09-24,111.523599
2003-09-25,111.866514
2003-09-26,111.927341
2003-09-27,111.978728
2003-09-28,111.978728
2003-09-29,111.329119
2003-09-30,111.079433
2003-10-01,110.796962
2003-10-02,110.760288
2003-10-03,110.811841
2003-10-04,110.750705
2003-10-05,110.750705
2003-10-06,110.98158
2003-10-07,110.041593
2003-10-08,109.655098
2003-10-09,109.18858
2003-10-10,108.521642
2003-10-11,108.458812
2003-10-12,108.458812
2003-10-13,108.724301
2003-10-14,109.342433
2003-10-15,109.495062
2003-10-16,109.682064
2003-10-17,109.613916
2003-10-18,109.631618
2003-10-19,109.631618
2003-10-20,110.220359
2003-10-21,109.858654
2003-10-22,109.178143
2003-10-23,109.657417
2003-10-24,109.359447
2003-10-25,109.402466
2003-10-26,109.402466
2003-10-27,108.474125
2003-10-28,108.382831
2003-10-29,108.150457
2003-10-30,108.417636
2003-10-31,109.671846
2003-11-01,109.522795
2003-11-02,109.522795
2003-11-03,110.806587
2003-11-04,109.866434
2003-11-05,109.801967
2003-11-06,110.123925
2003-11-07,109.60241
2003-11-08,109.713083
2003-11-09,109.713083
2003-11-10,108.383695
2003-11-11,108.74433
2003-11-12,108.790491
2003-11-13,108.316314
2003-11-14,108.337248
2003-11-15,108.264701
2003-11-16,108.264701
2003-11-17,108.943066
2003-11-18,108.351995
2003-11-19,109.126516
2003-11-20,108.902606
2003-11-21,108.798025
2003-11-22,108.768676
2003-11-23,108.768676
2003-11-24,109.277457
2003-11-25,109.718549
2003-11-26,109.285192
2003-11-27,109.147212
2003-11-28,109.486644
2003-11-29,109.475199
2003-11-30,109.475199
2003-12-01,109.456856
2003-12-02,108.943365
2003-12-03,108.260944
2003-12-04,108.18262
2003-12-05,107.895514
2003-12-06,107.924893
2003-12-07,107.924893
2003-12-08,107.431265
2003-12-09,107.201832
2003-12-10,108.238731
2003-12-11,108.12597
2003-12-12,107.760644
2003-12-13,107.738399
2003-12-14,107.738399
2003-12-15,107.7252
2003-12-16,107.535524
2003-12-17,107.500643
2003-12-18,107.655297
2003-12-19,107.758548
2003-12-20,107.684271
2003-12-21,107.684271
2003-12-22,107.444995
2003-12-23,107.444161
2003-12-24,107.307369
2003-12-25,107.297603
2003-12-26,107.239235
2003-12-27,107.237705
2003-12-28,107.237705
2003-12-29,106.941192
2003-12-30,107.029639
2003-12-31,107.144405
2004-01-01,107.284835
2004-01-02,106.952195
2004-01-03,106.970217
2004-01-04,106.970217
2004-01-05,106.161446
2004-01-06,106.189575
2004-01-07,106.183434
2004-01-08,106.165916
2004-01-09,106.631694
2004-01-10,106.649918
2004-01-11,106.649918
2004-01-12,106.542136
2004-01-13,106.289386
2004-01-14,106.120831
2004-01-15,106.161829
2004-01-16,106.552969
2004-01-17,106.436495
2004-01-18,106.436495
2004-01-19,107.088655
2004-01-20,107.185829
2004-01-21,106.931103
2004-01-22,106.208571
2004-01-23,106.168224
2004-01-24,106.226389
2004-01-25,106.226389
2004-01-26,106.208999
2004-01-27,105.683587
2004-01-28,105.797905
2004-01-29,105.994762
2004-01-30,105.797319
2004-01-31,105.769172
2004-02-01,105.769172
